frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-4.565393e+00
1;0.010000;-4.630249e+00
2;0.020000;-4.561183e+00
3;0.030000;-4.508463e+00
4;0.040000;-4.486024e+00
5;0.050000;-4.508143e+00
6;0.060000;-4.578720e+00
7;0.070000;-4.752903e+00
8;0.080000;-4.781706e+00
9;0.090000;-5.035027e+00
10;0.100000;-5.287356e+00
11;0.110000;-5.498066e+00
12;0.120000;-5.796163e+00
13;0.130000;-6.774872e+00
14;0.140000;-8.040790e+00
15;0.150000;-9.521586e+00
16;0.160000;-9.452304e+00
17;0.170000;-9.375848e+00
18;0.180000;-9.345575e+00
19;0.190000;-9.391514e+00
20;0.200000;-9.379555e+00
21;0.210000;-9.310564e+00
22;0.220000;-9.146407e+00
23;0.230000;-9.113866e+00
24;0.240000;-8.987691e+00
25;0.250000;-8.889924e+00
26;0.260000;-8.860648e+00
27;0.270000;-8.761560e+00
28;0.280000;-8.641142e+00
29;0.290000;-8.541959e+00
30;0.300000;-8.456511e+00
31;0.310000;-8.466967e+00
32;0.320000;-8.552070e+00
33;0.330000;-8.591562e+00
34;0.340000;-8.635936e+00
35;0.350000;-8.806263e+00
36;0.360000;-8.782279e+00
37;0.370000;-8.780303e+00
38;0.380000;-8.794121e+00
39;0.390000;-8.750718e+00
40;0.400000;-8.781018e+00
41;0.410000;-8.888914e+00
42;0.420000;-8.960928e+00
43;0.430000;-9.054973e+00
44;0.440000;-9.113704e+00
45;0.450000;-8.877433e+00
46;0.460000;-8.534530e+00
47;0.470000;-7.846663e+00
48;0.480000;-7.449248e+00
49;0.490000;-7.158428e+00
50;0.500000;-6.464543e+00
51;0.510000;-5.473230e+00
52;0.520000;-4.649072e+00
53;0.530000;-4.152555e+00
54;0.540000;-3.782900e+00
55;0.550000;-3.664904e+00
56;0.560000;-3.641121e+00
57;0.570000;-3.719050e+00
58;0.580000;-3.835024e+00
59;0.590000;-4.028929e+00
60;0.600000;-4.067223e+00
61;0.610000;-4.090816e+00
62;0.620000;-4.139857e+00
63;0.630000;-4.246675e+00
64;0.640000;-4.334716e+00
65;0.650000;-4.381919e+00
66;0.660000;-4.467048e+00
67;0.670000;-4.563663e+00
68;0.680000;-4.623113e+00
69;0.690000;-4.712811e+00
70;0.700000;-4.845397e+00
71;0.710000;-4.902833e+00
72;0.720000;-4.970243e+00
73;0.730000;-4.976807e+00
74;0.740000;-4.967570e+00
75;0.750000;-4.985971e+00
76;0.760000;-5.075518e+00
77;0.770000;-5.144106e+00
78;0.780000;-5.227675e+00
79;0.790000;-5.316564e+00
80;0.800000;-5.372533e+00
81;0.810000;-5.367003e+00
82;0.820000;-5.320240e+00
83;0.830000;-5.276440e+00
84;0.840000;-5.266122e+00
85;0.850000;-5.104431e+00
86;0.860000;-4.952410e+00
87;0.870000;-4.872610e+00
88;0.880000;-4.814456e+00
89;0.890000;-4.728670e+00
90;0.900000;-4.824226e+00
91;0.910000;-4.900887e+00
92;0.920000;-5.003896e+00
93;0.930000;-5.118193e+00
94;0.940000;-5.408350e+00
95;0.950000;-5.500319e+00
96;0.960000;-5.688395e+00
97;0.970000;-5.847083e+00
98;0.980000;-6.015662e+00
99;0.990000;-5.912649e+00
100;1.000000;-5.945217e+00
101;1.010000;-5.721494e+00
102;1.020000;-5.176585e+00
103;1.030000;-4.750548e+00
104;1.040000;-4.411953e+00
105;1.050000;-4.041009e+00
106;1.060000;-3.807105e+00
107;1.070000;-3.696696e+00
108;1.080000;-3.612887e+00
109;1.090000;-3.579041e+00
110;1.100000;-3.638103e+00
111;1.110000;-3.707064e+00
112;1.120000;-3.794417e+00
113;1.130000;-3.853301e+00
114;1.140000;-3.928871e+00
115;1.150000;-3.953440e+00
116;1.160000;-4.008885e+00
117;1.170000;-4.002118e+00
118;1.180000;-4.058317e+00
119;1.190000;-4.095724e+00
120;1.200000;-4.161874e+00
121;1.210000;-4.191767e+00
122;1.220000;-4.267044e+00
123;1.230000;-4.349401e+00
124;1.240000;-4.391165e+00
125;1.250000;-4.466290e+00
126;1.260000;-4.492809e+00
127;1.270000;-4.476022e+00
128;1.280000;-4.397829e+00
129;1.290000;-4.322868e+00
130;1.300000;-4.233912e+00
131;1.310000;-4.180107e+00
132;1.320000;-4.145564e+00
133;1.330000;-4.119885e+00
134;1.340000;-4.087889e+00
135;1.350000;-4.047443e+00
136;1.360000;-3.989274e+00
137;1.370000;-3.966236e+00
138;1.380000;-4.037137e+00
139;1.390000;-4.091910e+00
140;1.400000;-4.199143e+00
141;1.410000;-4.403573e+00
142;1.420000;-4.621139e+00
143;1.430000;-4.767672e+00
144;1.440000;-5.030994e+00
145;1.450000;-5.162045e+00
146;1.460000;-5.091129e+00
147;1.470000;-5.003384e+00
148;1.480000;-4.840349e+00
149;1.490000;-4.661791e+00
150;1.500000;-4.560991e+00
151;1.510000;-4.561035e+00
152;1.520000;-4.519812e+00
153;1.530000;-4.548643e+00
154;1.540000;-4.587917e+00
155;1.550000;-4.573071e+00
156;1.560000;-4.584852e+00
157;1.570000;-4.641099e+00
158;1.580000;-4.694552e+00
159;1.590000;-4.844960e+00
160;1.600000;-5.079611e+00
161;1.610000;-5.320822e+00
162;1.620000;-5.539310e+00
163;1.630000;-5.789046e+00
164;1.640000;-5.867462e+00
165;1.650000;-5.981513e+00
166;1.660000;-5.869749e+00
167;1.670000;-5.690026e+00
168;1.680000;-5.470238e+00
169;1.690000;-5.091910e+00
170;1.700000;-4.786383e+00
171;1.710000;-4.451467e+00
172;1.720000;-4.276731e+00
173;1.730000;-4.161929e+00
174;1.740000;-4.079246e+00
175;1.750000;-4.053230e+00
176;1.760000;-4.098470e+00
177;1.770000;-4.051079e+00
178;1.780000;-4.129532e+00
179;1.790000;-4.311436e+00
180;1.800000;-4.494368e+00
181;1.810000;-4.702234e+00
182;1.820000;-5.044419e+00
183;1.830000;-5.068348e+00
184;1.840000;-4.872778e+00
185;1.850000;-4.828799e+00
186;1.860000;-4.906323e+00
187;1.870000;-5.088029e+00
188;1.880000;-5.291239e+00
189;1.890000;-5.842788e+00
190;1.900000;-6.283182e+00
191;1.910000;-6.533635e+00
192;1.920000;-6.675286e+00
193;1.930000;-6.851572e+00
194;1.940000;-6.995526e+00
