frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
0;0.000000;7.769924e-02;-5.109819e+00
1;0.010000;6.191051e-02;-5.564131e+00
2;0.020000;4.594121e-02;-6.160786e+00
3;0.030000;4.174396e-02;-6.352401e+00
4;0.040000;4.990770e-02;-5.995160e+00
5;0.050000;6.233006e-02;-5.550623e+00
6;0.060000;7.760895e-02;-5.112145e+00
7;0.070000;9.118647e-02;-4.789698e+00
8;0.080000;9.792133e-02;-4.647182e+00
9;0.090000;1.009128e-01;-4.586997e+00
10;0.100000;1.070728e-01;-4.468493e+00
11;0.110000;1.069834e-01;-4.470162e+00
12;0.120000;1.045358e-01;-4.516452e+00
13;0.130000;1.037671e-01;-4.531212e+00
14;0.140000;9.909485e-02;-4.623355e+00
15;0.150000;8.697616e-02;-4.884243e+00
16;0.160000;7.569879e-02;-5.161986e+00
17;0.170000;6.578342e-02;-5.442775e+00
18;0.180000;5.761977e-02;-5.707779e+00
19;0.190000;5.414089e-02;-5.832331e+00
20;0.200000;4.891190e-02;-6.035469e+00
21;0.210000;4.491516e-02;-6.205960e+00
22;0.220000;4.119495e-02;-6.378879e+00
23;0.230000;3.824213e-02;-6.527635e+00
24;0.240000;3.511117e-02;-6.698472e+00
25;0.250000;3.295132e-02;-6.825448e+00
26;0.260000;3.044341e-02;-6.983771e+00
27;0.270000;2.702529e-02;-7.221964e+00
28;0.280000;3.078773e-02;-6.961278e+00
29;0.290000;4.549575e-02;-6.180273e+00
30;0.300000;6.384641e-02;-5.502550e+00
31;0.310000;7.366028e-02;-5.216583e+00
32;0.320000;8.046596e-02;-5.039842e+00
33;0.330000;8.608558e-02;-4.904827e+00
34;0.340000;8.499467e-02;-4.930333e+00
35;0.350000;7.643024e-02;-5.142754e+00
36;0.360000;7.019886e-02;-5.312847e+00
37;0.370000;6.306084e-02;-5.527311e+00
38;0.380000;5.266193e-02;-5.887725e+00
39;0.390000;4.116620e-02;-6.380276e+00
40;0.400000;3.033836e-02;-6.990685e+00
41;0.410000;1.985055e-02;-7.839047e+00
42;0.420000;1.620215e-02;-8.245223e+00
43;0.430000;9.858548e-03;-9.238832e+00
44;0.440000;4.984707e-03;-1.060276e+01
45;0.450000;1.952367e-03;-1.247743e+01
46;0.460000;1.206172e-03;-1.344061e+01
47;0.470000;1.523261e-03;-1.297380e+01
48;0.480000;1.654899e-02;-8.202860e+00
49;0.490000;3.483095e-02;-6.714498e+00
50;0.500000;4.787114e-02;-6.078485e+00
51;0.510000;6.399885e-02;-5.497780e+00
52;0.520000;8.063046e-02;-5.035758e+00
53;0.530000;9.488688e-02;-4.710140e+00
54;0.540000;1.101234e-01;-4.412307e+00
55;0.550000;1.257458e-01;-4.146986e+00
56;0.560000;1.345037e-01;-4.012327e+00
57;0.570000;1.406375e-01;-3.923139e+00
58;0.580000;1.437663e-01;-3.879133e+00
59;0.590000;1.420045e-01;-3.903794e+00
60;0.600000;1.322805e-01;-4.045660e+00
61;0.610000;1.180592e-01;-4.273138e+00
62;0.620000;1.040350e-01;-4.526056e+00
63;0.630000;1.008039e-01;-4.589157e+00
64;0.640000;9.514830e-02;-4.704637e+00
65;0.650000;9.939789e-02;-4.617249e+00
