frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-5.108181e+00
1;0.010000;-5.663779e+00
2;0.020000;-6.393645e+00
3;0.030000;-7.459628e+00
4;0.040000;-8.061169e+00
5;0.050000;-7.222588e+00
6;0.060000;-5.730988e+00
7;0.070000;-4.762067e+00
8;0.080000;-4.230170e+00
9;0.090000;-3.889410e+00
10;0.100000;-3.657375e+00
11;0.110000;-3.539794e+00
12;0.120000;-3.521581e+00
13;0.130000;-3.521696e+00
14;0.140000;-3.510390e+00
15;0.150000;-3.488637e+00
16;0.160000;-3.458915e+00
17;0.170000;-3.427178e+00
18;0.180000;-3.403646e+00
19;0.190000;-3.385136e+00
20;0.200000;-3.387747e+00
21;0.210000;-3.371809e+00
22;0.220000;-3.351489e+00
23;0.230000;-3.330343e+00
24;0.240000;-3.325236e+00
25;0.250000;-3.317699e+00
26;0.260000;-3.343040e+00
27;0.270000;-3.388766e+00
28;0.280000;-3.433246e+00
29;0.290000;-3.467181e+00
30;0.300000;-3.492143e+00
31;0.310000;-3.511896e+00
32;0.320000;-3.526572e+00
33;0.330000;-3.541951e+00
34;0.340000;-3.561880e+00
35;0.350000;-3.589574e+00
36;0.360000;-3.618313e+00
37;0.370000;-3.663242e+00
38;0.380000;-3.738397e+00
39;0.390000;-3.811942e+00
40;0.400000;-3.889455e+00
41;0.410000;-3.992282e+00
42;0.420000;-4.060386e+00
43;0.430000;-4.133683e+00
44;0.440000;-4.182740e+00
45;0.450000;-4.259739e+00
46;0.460000;-4.297872e+00
47;0.470000;-4.393677e+00
48;0.480000;-4.379116e+00
49;0.490000;-4.380146e+00
50;0.500000;-4.405215e+00
51;0.510000;-4.371626e+00
52;0.520000;-4.264861e+00
53;0.530000;-4.297570e+00
54;0.540000;-4.293131e+00
55;0.550000;-4.220977e+00
56;0.560000;-4.199501e+00
57;0.570000;-4.234804e+00
58;0.580000;-4.162034e+00
59;0.590000;-4.113990e+00
60;0.600000;-4.138457e+00
61;0.610000;-4.051503e+00
62;0.620000;-3.905119e+00
63;0.630000;-3.831511e+00
64;0.640000;-3.841512e+00
65;0.650000;-3.807119e+00
66;0.660000;-3.835482e+00
67;0.670000;-3.757100e+00
68;0.680000;-3.637123e+00
69;0.690000;-3.477122e+00
70;0.700000;-3.372077e+00
71;0.710000;-3.299190e+00
72;0.720000;-3.377576e+00
73;0.730000;-3.557662e+00
74;0.740000;-3.868446e+00
75;0.750000;-4.241411e+00
76;0.760000;-4.798103e+00
77;0.770000;-5.507775e+00
78;0.780000;-6.059467e+00
79;0.790000;-6.062104e+00
80;0.800000;-6.075218e+00
81;0.810000;-6.159415e+00
82;0.820000;-6.118342e+00
83;0.830000;-6.243159e+00
84;0.840000;-6.424848e+00
85;0.850000;-6.407475e+00
86;0.860000;-6.479269e+00
87;0.870000;-6.623695e+00
88;0.880000;-5.221001e+00
89;0.890000;-4.394900e+00
90;0.900000;-3.919374e+00
91;0.910000;-3.580986e+00
92;0.920000;-3.328792e+00
93;0.930000;-3.256060e+00
94;0.940000;-3.295591e+00
95;0.950000;-3.392347e+00
96;0.960000;-3.558488e+00
97;0.970000;-3.707031e+00
98;0.980000;-3.762300e+00
99;0.990000;-3.759806e+00
100;1.000000;-3.764230e+00
101;1.010000;-3.703168e+00
102;1.020000;-3.724239e+00
103;1.030000;-3.820884e+00
104;1.040000;-4.005909e+00
105;1.050000;-4.099117e+00
106;1.060000;-4.263144e+00
107;1.070000;-4.435932e+00
108;1.080000;-4.687895e+00
109;1.090000;-4.925880e+00
