frameIndex;frameTime;pcm_RMSenergy;pcm_LOGenergy
0;0.000000;7.893155e-02;-5.078349e+00
1;0.010000;6.661201e-02;-5.417741e+00
2;0.020000;4.785773e-02;-6.079045e+00
3;0.030000;2.679742e-02;-7.238899e+00
4;0.040000;1.953946e-02;-7.870638e+00
5;0.050000;1.942713e-02;-7.882170e+00
6;0.060000;1.885621e-02;-7.941826e+00
7;0.070000;1.862076e-02;-7.966957e+00
8;0.080000;2.594738e-02;-7.303369e+00
9;0.090000;2.770014e-02;-7.172636e+00
10;0.100000;3.542753e-02;-6.680532e+00
11;0.110000;3.591435e-02;-6.653237e+00
12;0.120000;4.381494e-02;-6.255561e+00
13;0.130000;3.987926e-02;-6.443798e+00
14;0.140000;4.469512e-02;-6.215782e+00
15;0.150000;4.009993e-02;-6.432762e+00
16;0.160000;4.531722e-02;-6.188136e+00
17;0.170000;4.265766e-02;-6.309097e+00
18;0.180000;5.081978e-02;-5.958939e+00
19;0.190000;5.593251e-02;-5.767219e+00
20;0.200000;7.092667e-02;-5.292218e+00
21;0.210000;8.207747e-02;-5.000184e+00
22;0.220000;9.426241e-02;-4.723345e+00
23;0.230000;1.090803e-01;-4.431342e+00
24;0.240000;1.218211e-01;-4.210403e+00
25;0.250000;1.293843e-01;-4.089937e+00
26;0.260000;1.344160e-01;-4.013632e+00
27;0.270000;1.370963e-01;-3.974143e+00
28;0.280000;1.353431e-01;-3.999885e+00
29;0.290000;1.364429e-01;-3.983697e+00
30;0.300000;1.298282e-01;-4.083086e+00
31;0.310000;1.247153e-01;-4.163444e+00
32;0.320000;1.176246e-01;-4.280514e+00
33;0.330000;1.088408e-01;-4.435738e+00
34;0.340000;9.759978e-02;-4.653760e+00
35;0.350000;9.404251e-02;-4.728017e+00
36;0.360000;8.844502e-02;-4.850749e+00
37;0.370000;9.222658e-02;-4.767014e+00
38;0.380000;9.361039e-02;-4.737228e+00
39;0.390000;8.929558e-02;-4.831606e+00
40;0.400000;8.546580e-02;-4.919278e+00
41;0.410000;8.458515e-02;-4.939993e+00
42;0.420000;7.608734e-02;-5.151747e+00
43;0.430000;9.253571e-02;-4.760321e+00
44;0.440000;9.066195e-02;-4.801235e+00
45;0.450000;9.267171e-02;-4.757384e+00
46;0.460000;8.779030e-02;-4.865609e+00
47;0.470000;8.593772e-02;-4.908265e+00
48;0.480000;5.980255e-02;-5.633414e+00
49;0.490000;5.903886e-02;-5.659119e+00
50;0.500000;5.874510e-02;-5.669095e+00
51;0.510000;5.950199e-02;-5.643491e+00
52;0.520000;8.223272e-02;-4.996404e+00
53;0.530000;8.255596e-02;-4.988558e+00
54;0.540000;8.206311e-02;-5.000534e+00
55;0.550000;8.072621e-02;-5.033384e+00
56;0.560000;8.522023e-02;-4.925033e+00
57;0.570000;7.970230e-02;-5.058914e+00
58;0.580000;8.968756e-02;-4.822846e+00
59;0.590000;1.005972e-01;-4.593261e+00
60;0.600000;1.139629e-01;-4.343765e+00
61;0.610000;1.139196e-01;-4.344525e+00
62;0.620000;1.023761e-01;-4.558203e+00
63;0.630000;9.037446e-02;-4.807587e+00
64;0.640000;7.328980e-02;-5.226667e+00
65;0.650000;3.919102e-02;-6.478615e+00
66;0.660000;2.268801e-02;-7.571838e+00
67;0.670000;1.072670e-02;-9.070038e+00
68;0.680000;1.189471e-02;-8.863323e+00
69;0.690000;1.398696e-02;-8.539260e+00
70;0.700000;1.612020e-02;-8.255364e+00
71;0.710000;1.825090e-02;-8.007081e+00
72;0.720000;2.114048e-02;-7.713131e+00
73;0.730000;2.412658e-02;-7.448883e+00
74;0.740000;2.618819e-02;-7.284894e+00
75;0.750000;3.202895e-02;-6.882230e+00
76;0.760000;3.821000e-02;-6.529316e+00
77;0.770000;5.269130e-02;-5.886610e+00
78;0.780000;7.042173e-02;-5.306507e+00
79;0.790000;8.207753e-02;-5.000182e+00
80;0.800000;9.678333e-02;-4.670561e+00
81;0.810000;1.054343e-01;-4.499334e+00
82;0.820000;1.063659e-01;-4.481741e+00
83;0.830000;9.817888e-02;-4.641928e+00
84;0.840000;9.163299e-02;-4.779928e+00
85;0.850000;7.776724e-02;-5.108070e+00
86;0.860000;7.025614e-02;-5.311215e+00
87;0.870000;8.236362e-02;-4.993223e+00
88;0.880000;9.461970e-02;-4.715779e+00
89;0.890000;1.064435e-01;-4.480282e+00
90;0.900000;1.138750e-01;-4.345307e+00
91;0.910000;1.182815e-01;-4.269375e+00
92;0.920000;1.090295e-01;-4.432274e+00
93;0.930000;1.005868e-01;-4.593469e+00
94;0.940000;9.228764e-02;-4.765690e+00
95;0.950000;9.008572e-02;-4.813987e+00
96;0.960000;9.382449e-02;-4.732659e+00
97;0.970000;1.013225e-01;-4.578894e+00
98;0.980000;1.081637e-01;-4.448218e+00
99;0.990000;1.134205e-01;-4.353307e+00
100;1.000000;1.170388e-01;-4.290499e+00
101;1.010000;1.097682e-01;-4.418768e+00
102;1.020000;9.747098e-02;-4.656401e+00
103;1.030000;8.471474e-02;-4.936931e+00
104;1.040000;6.785099e-02;-5.380883e+00
105;1.050000;4.325660e-02;-6.281211e+00
106;1.060000;2.563759e-02;-7.327391e+00
107;1.070000;1.992670e-02;-7.831389e+00
108;1.080000;1.624721e-02;-8.239669e+00
109;1.090000;1.929663e-02;-7.895649e+00
110;1.100000;3.296377e-02;-6.824692e+00
111;1.110000;3.956969e-02;-6.459383e+00
112;1.120000;4.267666e-02;-6.308207e+00
113;1.130000;4.411917e-02;-6.241722e+00
114;1.140000;4.600312e-02;-6.158092e+00
115;1.150000;3.945404e-02;-6.465238e+00
116;1.160000;3.620182e-02;-6.637292e+00
117;1.170000;3.505259e-02;-6.701811e+00
118;1.180000;3.332609e-02;-6.802830e+00
119;1.190000;2.949851e-02;-7.046831e+00
120;1.200000;2.819313e-02;-7.137354e+00
121;1.210000;2.517788e-02;-7.363579e+00
122;1.220000;2.068329e-02;-7.756858e+00
123;1.230000;1.941054e-02;-7.883878e+00
124;1.240000;1.692867e-02;-8.157494e+00
125;1.250000;1.350167e-02;-8.609884e+00
126;1.260000;9.743720e-03;-9.262264e+00
127;1.270000;9.078234e-03;-9.403751e+00
128;1.280000;1.648240e-02;-8.210924e+00
129;1.290000;2.861912e-02;-7.107361e+00
130;1.300000;3.507420e-02;-6.700579e+00
131;1.310000;4.158688e-02;-6.359941e+00
132;1.320000;4.996461e-02;-5.992880e+00
133;1.330000;4.946287e-02;-6.013066e+00
134;1.340000;4.410755e-02;-6.242249e+00
135;1.350000;3.923099e-02;-6.476577e+00
136;1.360000;3.233324e-02;-6.863319e+00
137;1.370000;1.703287e-02;-8.145221e+00
138;1.380000;1.194291e-02;-8.855234e+00
139;1.390000;9.950814e-03;-9.220201e+00
140;1.400000;1.170336e-02;-8.895760e+00
141;1.410000;3.020551e-02;-6.999462e+00
142;1.420000;6.220225e-02;-5.554728e+00
143;1.430000;7.360139e-02;-5.218183e+00
144;1.440000;9.379324e-02;-4.733325e+00
145;1.450000;1.048259e-01;-4.510910e+00
146;1.460000;1.170566e-01;-4.290195e+00
147;1.470000;1.107930e-01;-4.400184e+00
148;1.480000;1.077284e-01;-4.456285e+00
149;1.490000;1.014089e-01;-4.577189e+00
150;1.500000;1.102961e-01;-4.409174e+00
151;1.510000;1.166359e-01;-4.297396e+00
152;1.520000;1.335131e-01;-4.027111e+00
153;1.530000;1.561589e-01;-3.713762e+00
154;1.540000;1.742879e-01;-3.494093e+00
155;1.550000;1.798997e-01;-3.430712e+00
156;1.560000;1.799148e-01;-3.430544e+00
157;1.570000;1.735943e-01;-3.502069e+00
158;1.580000;1.577357e-01;-3.693669e+00
159;1.590000;1.373785e-01;-3.970031e+00
160;1.600000;1.203012e-01;-4.235513e+00
161;1.610000;1.049049e-01;-4.509402e+00
162;1.620000;9.365604e-02;-4.736253e+00
163;1.630000;8.826327e-02;-4.854862e+00
164;1.640000;8.104000e-02;-5.025625e+00
165;1.650000;7.366484e-02;-5.216459e+00
166;1.660000;6.721596e-02;-5.399689e+00
167;1.670000;6.053175e-02;-5.609175e+00
168;1.680000;5.034963e-02;-5.977528e+00
169;1.690000;4.131636e-02;-6.372993e+00
170;1.700000;3.363053e-02;-6.784642e+00
171;1.710000;2.352596e-02;-7.499301e+00
172;1.720000;9.989763e-03;-9.212389e+00
173;1.730000;3.788706e-03;-1.115146e+01
174;1.740000;1.960219e-03;-1.246940e+01
175;1.750000;1.081268e-03;-1.365924e+01
176;1.760000;9.721367e-04;-1.387203e+01
177;1.770000;1.167126e-03;-1.350642e+01
178;1.780000;1.354377e-03;-1.320883e+01
179;1.790000;1.628866e-03;-1.283974e+01
180;1.800000;1.803770e-03;-1.263575e+01
181;1.810000;1.976079e-03;-1.245328e+01
182;1.820000;2.006802e-03;-1.242243e+01
183;1.830000;1.958881e-03;-1.247076e+01
184;1.840000;1.876419e-03;-1.255678e+01
185;1.850000;1.931671e-03;-1.249874e+01
186;1.860000;2.080852e-03;-1.234996e+01
187;1.870000;2.768309e-03;-1.177904e+01
188;1.880000;4.263922e-03;-1.091513e+01
189;1.890000;8.702789e-03;-9.488223e+00
190;1.900000;1.032780e-02;-9.145833e+00
191;1.910000;1.174084e-02;-8.889364e+00
192;1.920000;1.248675e-02;-8.766175e+00
193;1.930000;2.092092e-02;-7.734012e+00
194;1.940000;3.724534e-02;-6.580457e+00
195;1.950000;6.692731e-02;-5.408296e+00
196;1.960000;1.071668e-01;-4.466738e+00
197;1.970000;1.537740e-01;-3.744542e+00
198;1.980000;1.813034e-01;-3.415167e+00
199;1.990000;1.953596e-01;-3.265826e+00
200;2.000000;2.020010e-01;-3.198965e+00
201;2.010000;1.937890e-01;-3.281970e+00
202;2.020000;1.737312e-01;-3.500492e+00
203;2.030000;1.527571e-01;-3.757812e+00
204;2.040000;1.372374e-01;-3.972086e+00
205;2.050000;1.193715e-01;-4.251029e+00
206;2.060000;1.039306e-01;-4.528064e+00
207;2.070000;8.136133e-02;-5.017710e+00
208;2.080000;7.414638e-02;-5.203428e+00
209;2.090000;7.236784e-02;-5.251987e+00
210;2.100000;7.447845e-02;-5.194491e+00
211;2.110000;7.938686e-02;-5.066845e+00
212;2.120000;8.382293e-02;-4.958097e+00
213;2.130000;8.671509e-02;-4.890254e+00
214;2.140000;8.498780e-02;-4.930495e+00
215;2.150000;8.110553e-02;-5.024008e+00
216;2.160000;7.524513e-02;-5.174008e+00
217;2.170000;6.724282e-02;-5.398890e+00
218;2.180000;5.175365e-02;-5.922521e+00
219;2.190000;3.943390e-02;-6.466259e+00
220;2.200000;2.906828e-02;-7.076216e+00
221;2.210000;2.775728e-02;-7.168514e+00
222;2.220000;2.588385e-02;-7.308272e+00
223;2.230000;2.375686e-02;-7.479768e+00
224;2.240000;2.336077e-02;-7.513394e+00
225;2.250000;2.210080e-02;-7.624283e+00
226;2.260000;2.136336e-02;-7.692156e+00
227;2.270000;1.851334e-02;-7.978528e+00
228;2.280000;1.583803e-02;-8.290682e+00
229;2.290000;1.218815e-02;-8.814582e+00
230;2.300000;8.509206e-03;-9.533214e+00
231;2.310000;1.226531e-03;-1.340713e+01
232;2.320000;6.199792e-03;-1.016648e+01
233;2.330000;1.191952e-02;-8.859156e+00
234;2.340000;1.330983e-02;-8.638505e+00
235;2.350000;1.513672e-02;-8.381264e+00
236;2.360000;1.698467e-02;-8.150888e+00
237;2.370000;1.774306e-02;-8.063521e+00
238;2.380000;1.579212e-02;-8.296489e+00
239;2.390000;1.510107e-02;-8.385980e+00
240;2.400000;1.368223e-02;-8.583315e+00
241;2.410000;1.193301e-02;-8.856894e+00
242;2.420000;7.446093e-02;-5.194962e+00
243;2.430000;1.132761e-01;-4.355854e+00
244;2.440000;1.290652e-01;-4.094875e+00
245;2.450000;1.415396e-01;-3.910351e+00
