frameIndex;frameTime;pcm_loudness_sma
0;0.000000;1.710447e-01
1;0.010000;1.573444e-01
2;0.020000;1.891400e-01
3;0.030000;3.810476e-01
4;0.040000;7.367726e-01
5;0.050000;7.383668e-01
6;0.060000;9.974484e-01
7;0.070000;7.961742e-01
8;0.080000;9.142098e-01
9;0.090000;7.385826e-01
10;0.100000;6.954260e-01
11;0.110000;7.188287e-01
12;0.120000;6.265387e-01
13;0.130000;6.507830e-01
14;0.140000;1.011590e+00
15;0.150000;1.167523e+00
16;0.160000;1.557268e+00
17;0.170000;1.571416e+00
18;0.180000;1.537133e+00
19;0.190000;1.690476e+00
20;0.200000;1.672981e+00
21;0.210000;1.920844e+00
22;0.220000;1.969459e+00
23;0.230000;1.935400e+00
24;0.240000;2.048436e+00
25;0.250000;2.226778e+00
26;0.260000;2.199912e+00
27;0.270000;1.627014e+00
28;0.280000;7.557557e-01
29;0.290000;2.955807e-01
30;0.300000;1.369684e-01
31;0.310000;1.438819e-01
32;0.320000;1.988899e-01
33;0.330000;2.140412e-01
34;0.340000;2.038461e-01
35;0.350000;1.772059e-01
36;0.360000;1.675289e-01
37;0.370000;1.564253e-01
38;0.380000;8.223111e-02
39;0.390000;8.588195e-02
40;0.400000;9.809258e-02
41;0.410000;1.007560e-01
42;0.420000;8.496084e-02
43;0.430000;7.401782e-02
44;0.440000;1.040952e-01
45;0.450000;1.210428e-01
46;0.460000;8.155981e-02
47;0.470000;5.264880e-02
48;0.480000;3.143469e-02
49;0.490000;3.017038e-02
50;0.500000;3.017038e-02
51;0.510000;3.714152e-02
52;0.520000;5.079335e-02
53;0.530000;5.188406e-02
54;0.540000;5.101623e-02
55;0.550000;5.101623e-02
56;0.560000;2.057614e-01
57;0.570000;5.951912e-01
58;0.580000;8.059564e-01
59;0.590000;9.307303e-01
60;0.600000;8.772783e-01
61;0.610000;1.512978e+00
62;0.620000;1.566782e+00
63;0.630000;1.218452e+00
64;0.640000;5.436758e-01
65;0.650000;3.205781e-01
66;0.660000;3.457052e-01
67;0.670000;1.780398e-01
68;0.680000;6.289464e-02
69;0.690000;5.182620e-02
70;0.700000;5.369082e-02
71;0.710000;6.729067e-02
72;0.720000;7.524975e-02
73;0.730000;2.379998e-01
74;0.740000;4.765404e-01
75;0.750000;1.189883e+00
76;0.760000;1.403461e+00
77;0.770000;1.277372e+00
78;0.780000;8.183150e-01
79;0.790000;7.553733e-01
80;0.800000;1.018266e+00
81;0.810000;1.045393e+00
82;0.820000;9.990892e-01
83;0.830000;9.306363e-01
84;0.840000;9.134287e-01
85;0.850000;1.019046e+00
86;0.860000;9.714060e-01
87;0.870000;8.095555e-01
88;0.880000;5.559834e-01
89;0.890000;6.182672e-01
90;0.900000;7.038005e-01
91;0.910000;8.765553e-01
92;0.920000;6.977093e-01
93;0.930000;6.296272e-01
94;0.940000;3.835597e-01
95;0.950000;3.351702e-01
96;0.960000;2.735072e-01
97;0.970000;2.890906e-01
98;0.980000;2.423618e-01
99;0.990000;1.934946e-01
100;1.000000;1.414361e-01
101;1.010000;8.026576e-02
102;1.020000;1.546323e-01
103;1.030000;2.858744e-01
104;1.040000;5.663127e-01
105;1.050000;9.292898e-01
106;1.060000;1.384873e+00
107;1.070000;1.200469e+00
108;1.080000;9.088698e-01
109;1.090000;6.303518e-01
110;1.100000;6.614476e-01
111;1.110000;5.736765e-01
112;1.120000;2.541637e-01
113;1.130000;1.296968e-01
114;1.140000;6.244868e-02
115;1.150000;8.296314e-02
116;1.160000;1.012385e-01
117;1.170000;9.157226e-02
118;1.180000;6.483243e-02
119;1.190000;5.674244e-02
120;1.200000;5.063912e-02
121;1.210000;5.139019e-02
122;1.220000;4.346186e-02
123;1.230000;4.571893e-02
124;1.240000;7.714262e-02
125;1.250000;1.100528e-01
126;1.260000;1.935389e-01
127;1.270000;3.834629e-01
128;1.280000;5.227713e-01
129;1.290000;8.685448e-01
130;1.300000;7.364106e-01
131;1.310000;6.879032e-01
132;1.320000;2.701652e-01
133;1.330000;2.459732e-01
134;1.340000;1.412189e-01
135;1.350000;1.326436e-01
136;1.360000;6.188905e-02
137;1.370000;5.579254e-02
138;1.380000;5.669256e-02
139;1.390000;6.315932e-02
140;1.400000;1.683756e-01
141;1.410000;1.974396e-01
142;1.420000;3.102364e-01
143;1.430000;4.828432e-01
144;1.440000;1.260130e+00
145;1.450000;1.285288e+00
146;1.460000;1.915496e+00
147;1.470000;1.868823e+00
148;1.480000;1.983937e+00
149;1.490000;1.803167e+00
150;1.500000;1.248392e+00
151;1.510000;1.081324e+00
152;1.520000;5.142920e-01
153;1.530000;4.663653e-01
154;1.540000;4.865937e-01
155;1.550000;4.625952e-01
156;1.560000;3.797549e-01
157;1.570000;3.620040e-01
158;1.580000;2.377680e-01
159;1.590000;2.030546e-01
160;1.600000;2.441241e-01
161;1.610000;3.388790e-01
162;1.620000;3.459550e-01
163;1.630000;2.729155e-01
164;1.640000;2.329614e-01
165;1.650000;2.539769e-01
166;1.660000;2.277527e-01
167;1.670000;3.329354e-01
