frameIndex;frameTime;pcm_loudness_sma
0;0.000000;3.882997e-01
1;0.010000;4.783400e-01
2;0.020000;4.684647e-01
3;0.030000;3.702867e-01
4;0.040000;4.856455e-01
5;0.050000;6.556064e-01
6;0.060000;1.327742e+00
7;0.070000;1.317112e+00
8;0.080000;2.096180e+00
9;0.090000;1.996142e+00
10;0.100000;1.736934e+00
11;0.110000;1.130958e+00
12;0.120000;6.247000e-01
13;0.130000;7.819164e-01
14;0.140000;5.795721e-01
15;0.150000;4.954463e-01
16;0.160000;3.605476e-01
17;0.170000;3.419335e-01
18;0.180000;7.746999e-01
19;0.190000;1.164001e+00
20;0.200000;2.096545e+00
21;0.210000;2.322197e+00
22;0.220000;2.334105e+00
23;0.230000;1.743057e+00
24;0.240000;1.105651e+00
25;0.250000;1.111622e+00
26;0.260000;1.017282e+00
27;0.270000;9.859144e-01
28;0.280000;6.078123e-01
29;0.290000;2.143950e-01
30;0.300000;3.353662e-01
31;0.310000;3.868110e-01
32;0.320000;5.536437e-01
33;0.330000;4.498283e-01
34;0.340000;3.485754e-01
35;0.350000;5.746840e-01
36;0.360000;8.608742e-01
37;0.370000;1.382128e+00
38;0.380000;1.529547e+00
39;0.390000;2.241414e+00
40;0.400000;2.287586e+00
41;0.410000;1.981511e+00
42;0.420000;1.417111e+00
43;0.430000;1.471859e+00
44;0.440000;2.104926e+00
45;0.450000;1.746660e+00
46;0.460000;1.711423e+00
47;0.470000;9.275045e-01
48;0.480000;8.739538e-01
49;0.490000;3.880570e-01
50;0.500000;3.501517e-01
51;0.510000;3.501517e-01
52;0.520000;4.114716e-01
53;0.530000;6.800857e-01
54;0.540000;9.203391e-01
55;0.550000;8.775777e-01
56;0.560000;7.978465e-01
57;0.570000;6.643803e-01
58;0.580000;8.747274e-01
59;0.590000;1.195262e+00
60;0.600000;1.566374e+00
61;0.610000;1.767150e+00
62;0.620000;1.263541e+00
63;0.630000;9.575449e-01
64;0.640000;5.320811e-01
65;0.650000;4.687290e-01
66;0.660000;2.516524e-01
67;0.670000;2.935527e-01
68;0.680000;2.935527e-01
69;0.690000;3.792893e-01
70;0.700000;3.257948e-01
71;0.710000;3.100368e-01
72;0.720000;2.722698e-01
73;0.730000;2.091556e-01
74;0.740000;5.242943e-01
75;0.750000;5.442384e-01
76;0.760000;7.212765e-01
77;0.770000;4.789463e-01
