frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;formantFinalFreq_sma[0];formantFinalFreq_sma[1];formantFinalFreq_sma[2];formantFinalFreq_sma[3];formantFinalFreq_sma[4];formantFinalBW_sma[0];formantFinalBW_sma[1];formantFinalBW_sma[2];formantFinalBW_sma[3];formantFinalBW_sma[4]
0;0.010000;2.495320e-01;2.495320e-01;0;0;0;2.073355e+03;3.176665e+03;4000;2.419449e+02;3.464488e+02;2.047273e+03;0;0;0;0
1;0.020000;5.009199e-01;5.009199e-01;0;0;0;2.084521e+03;3.200675e+03;4000;2.375098e+02;2.857961e+02;2.499535e+03;0;0;0;0
2;0.030000;7.196828e-01;7.196828e-01;0;0;0;2.105511e+03;3.242829e+03;4000;2.307849e+02;1.908914e+02;3.380753e+03;0;0;0;0
3;0.040000;6.510920e-01;6.510920e-01;0;0;0;1.811129e+03;2.895151e+03;3.775999e+03;3.311500e+02;1.897709e+02;2.603542e+03;0;0;0;0
4;0.050000;6.236145e-01;6.236145e-01;0;0;0;1.512828e+03;2.540461e+03;3.550215e+03;4.367582e+02;1.979249e+02;1.622429e+03;0;0;0;0
5;0.060000;6.252694e-01;6.252694e-01;0;0;0;8.926852e+02;1.843663e+03;2.928614e+03;6.369383e+02;2.726155e+02;1.773067e+02;0;0;0;0
6;0.070000;6.749030e-01;6.749030e-01;0;0;0;5.854512e+02;1.522495e+03;2.525159e+03;7.040239e+02;2.568183e+02;1.766641e+02;0;0;0;0
7;0.080000;6.865920e-01;6.865920e-01;0;0;0;2.729962e+02;1.201372e+03;2.112607e+03;7.669690e+02;2.438746e+02;1.213511e+02;0;0;0;0
8;0.090000;6.973274e-01;6.973274e-01;0;0;0;2.699355e+02;1.205345e+03;2.087393e+03;7.309621e+02;1.710741e+02;8.717509e+01;0;0;0;0
9;0.100000;6.861735e-01;6.861735e-01;0;0;0;2.634282e+02;1.206658e+03;2.063048e+03;7.230937e+02;1.192217e+02;7.110622e+01;0;0;0;0
10;0.110000;6.471863e-01;6.471863e-01;0;0;0;2.511572e+02;1.204762e+03;2.042572e+03;7.406763e+02;7.869001e+01;5.758628e+01;0;0;0;0
11;0.120000;5.829332e-01;5.829332e-01;0;0;0;5.553992e+02;1.749200e+03;2.622831e+03;5.216622e+02;1.130958e+02;2.403725e+02;0;0;0;0
12;0.130000;5.354028e-01;5.354028e-01;0;0;0;8.411760e+02;1.346511e+03;2.878537e+03;3.295251e+02;3.291405e+02;2.514257e+02;0;0;0;0
13;0.140000;4.152318e-01;4.152318e-01;0;0;0;1.071174e+03;9.469897e+02;2.824431e+03;1.807157e+02;5.692881e+02;4.098485e+02;0;0;0;0
14;0.150000;3.363551e-01;3.363551e-01;0;0;0;9.159374e+02;0;2.137079e+03;3.099258e+02;8.143535e+02;3.908190e+02;0;0;0;0
15;0.160000;2.906742e-01;2.906742e-01;0;0;0;5.445390e+02;0;1.199842e+03;2.615484e+02;5.744185e+02;3.604359e+02;0;0;0;0
16;0.170000;3.240525e-01;3.240525e-01;0;0;0;2.365964e+02;0;5.794260e+02;1.481507e+02;3.133507e+02;1.826870e+02;0;0;0;0
17;0.180000;3.286622e-01;3.286622e-01;0;0;0;5.587122e+02;0;2.316281e+02;1.526375e+02;6.907733e-01;1.606390e+02;0;0;0;0
18;0.190000;2.849481e-01;2.849481e-01;0;0;0;5.587122e+02;0;2.316281e+02;1.526375e+02;6.907733e-01;1.606390e+02;0;0;0;0
19;0.200000;2.738891e-01;2.738891e-01;0;0;0;8.124688e+02;5.452868e+02;1.083777e+03;3.281226e+02;1.573634e+02;3.724884e+02;0;0;0;0
20;0.210000;3.440393e-01;3.440393e-01;0;0;0;4.908022e+02;1.093394e+03;1.703900e+03;3.278501e+02;3.296465e+02;4.283735e+02;0;0;0;0
21;0.220000;4.549887e-01;4.549887e-01;0;0;0;7.268967e+02;1.631733e+03;2.546558e+03;4.697808e+02;5.279289e+02;6.646339e+02;0;0;0;0
22;0.230000;5.866131e-01;5.866131e-01;0;0;0;7.556566e+02;1.610047e+03;2.551306e+03;3.032837e+02;5.764040e+02;7.699485e+02;0;0;0;0
23;0.240000;6.808856e-01;6.808856e-01;0;0;0;9.201387e+02;1.061940e+03;2.344094e+03;1.530506e+02;6.359180e+02;9.310772e+02;0;0;0;0
24;0.250000;7.400470e-01;7.400470e-01;0;0;0;1.123919e+03;1.175819e+03;2.634552e+03;1.353283e+02;7.551577e+02;7.985877e+02;0;0;0;0
25;0.260000;7.291510e-01;7.291510e-01;0;0;0;9.230949e+02;1.080425e+03;2.451979e+03;3.858649e+02;5.982271e+02;6.978948e+02;0;0;0;0
26;0.270000;7.040434e-01;7.040434e-01;0;0;0;6.096431e+02;1.517312e+03;2.493185e+03;6.304296e+02;3.967448e+02;5.398732e+02;0;0;0;0
27;0.280000;6.945217e-01;6.945217e-01;0;0;0;2.568816e+02;1.308022e+03;2.071588e+03;7.607628e+02;1.232410e+02;6.511063e+02;0;0;0;0
28;0.290000;7.169247e-01;7.169247e-01;0;0;0;2.639168e+02;1.330479e+03;2.131083e+03;7.479434e+02;1.518814e+02;5.913355e+02;0;0;0;0
29;0.300000;7.141903e-01;7.141903e-01;0;0;0;6.636877e+02;1.938858e+03;2.778672e+03;5.329350e+02;1.475427e+02;5.186137e+02;0;0;0;0
30;0.310000;6.877580e-01;6.877580e-01;0;0;0;6.651063e+02;1.952923e+03;3.400486e+03;5.322891e+02;1.921733e+02;3.792515e+02;0;0;0;0
31;0.320000;6.573224e-01;6.573224e-01;0;0;0;6.643497e+02;1.956383e+03;4000;5.325629e+02;2.254388e+02;2.792917e+02;0;0;0;0
32;0.330000;6.347761e-01;6.347761e-01;0;0;0;2.670861e+02;1.367960e+03;4000;7.348168e+02;3.215985e+02;1.754399e+02;0;0;0;0
33;0.340000;6.148280e-01;6.148280e-01;0;0;0;2.697565e+02;1.362332e+03;3.658502e+03;6.922805e+02;3.888656e+02;1.565285e+02;0;0;0;0
34;0.350000;5.846692e-01;5.846692e-01;0;0;0;6.880095e+02;9.082092e+02;2.557977e+03;4.895807e+02;5.504516e+02;4.451363e+02;0;0;0;0
35;0.360000;5.492519e-01;5.492519e-01;0;0;0;1.087936e+03;1.246479e+03;2.278831e+03;2.819463e+02;5.321867e+02;4.602150e+02;0;0;0;0
36;0.370000;5.543212e-01;5.543212e-01;0;0;0;1.505879e+03;1.814640e+03;1.286996e+03;2.286167e+02;5.062056e+02;8.279461e+02;0;0;0;0
37;0.380000;6.012515e-01;6.012515e-01;0;0;0;1.477668e+03;2.598736e+03;2.165837e+03;2.346759e+02;3.998097e+02;5.910034e+02;0;0;0;0
38;0.390000;6.616812e-01;6.616812e-01;0;0;0;1.508069e+03;2.634036e+03;2.198442e+03;4.457185e+02;5.057668e+02;6.574071e+02;0;0;0;0
39;0.400000;6.853413e-01;6.853413e-01;0;0;0;9.989240e+02;1.614511e+03;2.198442e+03;2.876888e+02;3.758317e+02;2.329456e+02;0;0;0;0
40;0.410000;6.122203e-01;6.122203e-01;0;0;0;5.209116e+02;8.304151e+02;1.086793e+03;2.373504e+02;2.105187e+02;1.245398e+02;0;0;0;0
41;0.420000;5.026950e-01;5.026950e-01;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0.430000;3.939194e-01;3.939194e-01;0;0;0;4.211187e+02;0;7.753779e+02;1.915014e+02;3.227233e+02;1.403547e+02;0;0;0;0
43;0.440000;4.037384e-01;4.037384e-01;0;0;0;1.461834e+03;1.333333e+03;7.753779e+02;2.914992e+02;4.975101e+02;4.751286e+02;0;0;0;0
44;0.450000;4.208142e-01;4.208142e-01;0;0;0;1.461834e+03;1.333333e+03;7.753779e+02;2.914992e+02;4.975101e+02;4.751286e+02;0;0;0;0
45;0.460000;4.512948e-01;4.512948e-01;0;0;0;1.208724e+03;1.733556e+03;7.167818e+02;2.672061e+02;4.075922e+02;5.195207e+02;0;0;0;0
46;0.470000;3.815756e-01;3.620299e-01;0;0;0;1.501342e+03;4.002228e+02;1.043857e+03;1.833342e+02;4.363323e+02;3.484823e+02;0;0;0;0
47;0.480000;3.375520e-01;3.180064e-01;0;0;0;1.501342e+03;4.002228e+02;1.043857e+03;1.833342e+02;4.363323e+02;3.484823e+02;0;0;0;0
48;0.490000;2.949252e-01;2.753796e-01;0;0;0;1.333333e+03;0;3.270747e+02;1.612592e+01;2.035268e+02;1.637357e+02;0;0;0;0
49;0.500000;3.869474e-01;3.869474e-01;0;0;0;9.177775e+01;4.339904e+02;6.880323e+02;2.602964e+02;7.178194e+01;1.308491e+02;0;0;0;0
50;0.510000;5.168031e-01;5.168031e-01;0;0;0;1.866673e+02;8.654865e+02;1.374453e+03;4.990989e+02;1.257309e+02;2.356088e+02;0;0;0;0
51;0.520000;6.519229e-01;6.519229e-01;0;0;0;2.814615e+02;1.293216e+03;2.062166e+03;7.425104e+02;1.935501e+02;3.295471e+02;0;0;0;0
52;0.530000;7.041047e-01;7.041047e-01;0;0;0;2.862551e+02;1.285071e+03;2.062703e+03;7.195107e+02;1.870571e+02;2.883433e+02;0;0;0;0
53;0.540000;7.102147e-01;7.102147e-01;0;0;0;2.880256e+02;1.278650e+03;2.063518e+03;7.203675e+02;2.076101e+02;2.696277e+02;0;0;0;0
54;0.550000;6.940640e-01;6.940640e-01;0;0;0;2.923475e+02;1.275714e+03;2.062360e+03;7.065728e+02;2.121595e+02;2.549556e+02;0;0;0;0
55;0.560000;6.836641e-01;6.836641e-01;0;0;0;2.948030e+02;1.270542e+03;2.061352e+03;6.950980e+02;2.135774e+02;2.393901e+02;0;0;0;0
