frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma;formantFinalFreq_sma[0];formantFinalFreq_sma[1];formantFinalFreq_sma[2];formantFinalFreq_sma[3];formantFinalFreq_sma[4];formantFinalBW_sma[0];formantFinalBW_sma[1];formantFinalBW_sma[2];formantFinalBW_sma[3];formantFinalBW_sma[4]
0;0.010000;1.489407e-01;1.489407e-01;0;0;0;1.785782e+03;3.113259e+03;4000;4.420736e+02;8.066396e+01;1.338636e+02;0;0;0;0
1;0.020000;2.897289e-01;2.897289e-01;0;0;0;1.343946e+03;2.067544e+03;4000;5.010084e+02;3.659630e+02;1.366371e+02;0;0;0;0
2;0.030000;4.036689e-01;4.036689e-01;0;0;0;1.229458e+03;2.030197e+03;4000;5.027633e+02;4.437929e+02;1.503256e+02;0;0;0;0
3;0.040000;3.921494e-01;3.921494e-01;0;0;0;1.534735e+03;2.014729e+03;4000;4.456594e+02;4.985752e+02;1.476872e+02;0;0;0;0
4;0.050000;4.024713e-01;4.024713e-01;0;0;0;1.890891e+03;3.019254e+03;4000;4.159066e+02;2.784876e+02;1.633953e+02;0;0;0;0
5;0.060000;4.315206e-01;4.315206e-01;0;0;0;1.937004e+03;3.019811e+03;4000;4.744231e+02;3.283223e+02;2.156039e+02;0;0;0;0
6;0.070000;4.674242e-01;4.674242e-01;0;0;0;1.479111e+03;2.401797e+03;3.347141e+03;5.808476e+02;3.363665e+02;2.809690e+02;0;0;0;0
7;0.080000;5.264531e-01;5.264531e-01;0;0;0;9.943589e+02;1.795356e+03;2.689831e+03;6.836379e+02;3.831725e+02;3.501800e+02;0;0;0;0
8;0.090000;5.799474e-01;5.799474e-01;0;0;0;5.027239e+02;1.198117e+03;2.065917e+03;7.555187e+02;3.570305e+02;4.138229e+02;0;0;0;0
9;0.100000;6.177287e-01;6.177287e-01;0;0;0;5.353098e+02;1.265323e+03;2.126789e+03;7.283174e+02;4.213442e+02;4.999873e+02;0;0;0;0
