frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.010000;0;2.347475e-01;0;0;0
1;0.020000;0;4.652309e-01;0;0;0
2;0.030000;0;6.881648e-01;0;0;0
3;0.040000;5.200133e+01;6.945445e-01;0;0;0
4;0.050000;1.040304e+02;7.143477e-01;0;0;1.428571e-01
5;0.060000;1.558086e+02;7.467553e-01;2.013720e-02;0;2.881026e-01
6;0.070000;1.552028e+02;7.599866e-01;2.641436e-02;1.348083e-02;4.816442e-01
7;0.080000;1.535973e+02;7.630875e-01;2.887722e-02;1.605876e-02;4.490339e-01
8;0.090000;1.513916e+02;7.655175e-01;1.016549e-02;1.751477e-02;3.964515e-01
9;0.100000;1.493406e+02;7.678224e-01;1.047721e-02;8.036468e-03;2.206954e-01
10;0.110000;1.480005e+02;7.688467e-01;1.014695e-02;1.253042e-02;1.710221e-01
11;0.120000;1.471593e+02;7.668317e-01;9.702950e-03;1.221924e-02;1.399498e-01
12;0.130000;1.462942e+02;7.662883e-01;4.095553e-03;9.361539e-03;1.837550e-01
13;0.140000;1.452526e+02;7.607256e-01;4.035445e-03;5.282428e-03;1.297652e-01
14;0.150000;1.437962e+02;7.456142e-01;5.126447e-03;7.130366e-03;7.475813e-02
15;0.160000;1.443986e+02;7.241809e-01;9.124700e-03;1.052723e-02;2.378217e-02
16;0.170000;1.482296e+02;7.223015e-01;2.219591e-02;1.792466e-02;1.001269e-01
17;0.180000;1.544437e+02;7.330625e-01;4.040601e-02;2.975580e-02;1.284924e-01
18;0.190000;1.602567e+02;7.478564e-01;5.570885e-02;4.003800e-02;1.528268e-01
19;0.200000;1.650870e+02;7.516676e-01;5.011824e-02;3.408757e-02;8.277556e-02
20;0.210000;1.701009e+02;7.505986e-01;3.492061e-02;1.968054e-02;5.036767e-02
21;0.220000;1.758662e+02;7.506714e-01;1.972299e-02;5.273514e-03;1.795978e-02
22;0.230000;1.820228e+02;7.508766e-01;1.525485e-02;1.250622e-03;7.623895e-03
23;0.240000;1.888001e+02;7.505131e-01;1.525485e-02;1.250622e-03;7.623895e-03
24;0.250000;1.959950e+02;7.495716e-01;5.071463e-02;3.559899e-02;2.124525e-02
25;0.260000;2.065079e+02;7.406223e-01;6.446867e-02;5.917933e-02;3.108501e-02
26;0.270000;2.162493e+02;7.293301e-01;6.562968e-02;6.541048e-02;4.747960e-02
27;0.280000;2.260862e+02;7.314727e-01;6.367555e-02;6.239268e-02;1.562102e-01
28;0.290000;2.330345e+02;7.422747e-01;4.866205e-02;5.697484e-02;1.782839e-01
29;0.300000;2.413988e+02;7.611020e-01;5.016240e-02;5.328218e-02;1.838171e-01
30;0.310000;2.507536e+02;7.693488e-01;2.085374e-02;3.151602e-02;8.361983e-02
31;0.320000;2.599510e+02;7.801237e-01;2.295064e-02;1.901122e-02;7.160699e-02
32;0.330000;2.667492e+02;7.816824e-01;2.183045e-02;2.402259e-02;6.944760e-02
33;0.340000;2.697326e+02;7.694376e-01;1.538824e-02;1.639449e-02;7.526908e-02
34;0.350000;1.802141e+02;7.309954e-01;9.465856e-03;1.031991e-02;5.282713e-02
35;0.360000;9.003008e+01;6.985673e-01;2.839727e-03;2.353168e-03;3.051738e-02
36;0.370000;8.840366e+01;6.973523e-01;0;0;0
37;0.380000;1.770717e+02;7.164667e-01;0;0;5.420055e-03
38;0.390000;1.770717e+02;7.076580e-01;0;0;5.420055e-03
39;0.400000;8.866806e+01;6.196176e-01;0;0;5.420055e-03
40;0.410000;0;5.337736e-01;0;0;0
41;0.420000;0;4.676058e-01;0;0;0
42;0.430000;0;4.515133e-01;0;0;0
43;0.440000;0;4.477701e-01;0;0;0
44;0.450000;0;4.221958e-01;0;0;0
45;0.460000;0;4.362008e-01;0;0;0
46;0.470000;0;4.425588e-01;0;0;0
47;0.480000;0;5.135396e-01;0;0;0
48;0.490000;0;5.902962e-01;0;0;0
49;0.500000;8.009073e+01;6.758826e-01;0;0;0
50;0.510000;1.587347e+02;7.360942e-01;0;0;2.846292e-01
51;0.520000;2.356337e+02;7.618504e-01;1.158304e-02;0;2.925569e-01
52;0.530000;2.303804e+02;7.728538e-01;1.666727e-02;2.760709e-03;3.109483e-01
53;0.540000;2.247939e+02;7.725697e-01;2.039170e-02;3.106187e-03;3.280037e-02
54;0.550000;2.192954e+02;7.704601e-01;1.275668e-02;5.561693e-03;4.709808e-02
55;0.560000;2.140944e+02;7.677917e-01;1.190078e-02;5.029281e-03;4.540978e-02
56;0.570000;2.085557e+02;7.599237e-01;1.698853e-02;7.367390e-03;4.365630e-02
57;0.580000;2.023884e+02;7.440340e-01;1.714861e-02;1.049712e-02;6.248403e-02
58;0.590000;1.327520e+02;7.181172e-01;1.292030e-02;8.268827e-03;4.578098e-02
59;0.600000;6.523313e+01;6.712284e-01;4.108110e-03;5.585240e-03;4.105322e-02
60;0.610000;0;6.044763e-01;0;0;0
61;0.620000;0;5.464358e-01;0;0;0
62;0.630000;0;5.084028e-01;0;0;0
63;0.640000;0;5.001551e-01;0;0;0
64;0.650000;0;4.964418e-01;0;0;0
65;0.660000;0;5.460668e-01;0;0;0
66;0.670000;0;6.002843e-01;0;0;0
67;0.680000;5.715778e+01;6.678683e-01;0;0;0
68;0.690000;1.144061e+02;7.028841e-01;0;0;0
