frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;jitterLocal_sma;jitterDDP_sma;shimmerLocal_sma
0;0.010000;8.292525e+01;2.794016e-01;0;0;0
1;0.020000;1.640956e+02;5.508290e-01;3.333819e-03;0;4.127910e-02
2;0.030000;2.433459e+02;8.044558e-01;1.163921e-02;5.070814e-03;5.296655e-02
3;0.040000;1.604207e+02;7.509410e-01;1.163921e-02;5.070814e-03;5.296655e-02
4;0.050000;7.925028e+01;6.812391e-01;8.305392e-03;5.070814e-03;1.168745e-02
5;0.060000;0;6.020091e-01;0;0;0
6;0.070000;0;5.271204e-01;0;0;0
7;0.080000;0;4.821858e-01;0;0;0
8;0.090000;0;4.741921e-01;0;0;0
9;0.100000;0;4.822085e-01;0;0;0
10;0.110000;0;4.668999e-01;0;0;0
11;0.120000;0;4.453099e-01;0;0;0
12;0.130000;0;4.758514e-01;0;0;0
13;0.140000;8.201062e+01;5.841864e-01;0;0;4.197156e-02
14;0.150000;1.639437e+02;7.042120e-01;1.156560e-02;0;6.643495e-02
15;0.160000;2.457085e+02;7.886679e-01;3.532485e-02;3.812301e-02;1.358817e-01
16;0.170000;2.448950e+02;8.141688e-01;3.725752e-02;3.910149e-02;1.626090e-01
17;0.180000;2.433949e+02;8.272881e-01;3.135495e-02;4.129788e-02;1.632571e-01
18;0.190000;2.413450e+02;8.293047e-01;1.006853e-02;6.505532e-03;1.009206e-01
19;0.200000;2.386305e+02;8.242536e-01;9.354613e-03;7.174203e-03;5.113441e-02
20;0.210000;2.351844e+02;8.090636e-01;6.432863e-03;6.093449e-03;3.714441e-02
21;0.220000;2.301817e+02;7.854165e-01;6.578401e-03;3.895868e-03;5.179017e-02
22;0.230000;2.255862e+02;7.647955e-01;9.263729e-03;3.565083e-03;5.157737e-02
23;0.240000;1.485993e+02;7.314749e-01;6.522447e-03;2.449447e-03;4.045588e-02
24;0.250000;7.388701e+01;7.069438e-01;3.904073e-03;1.316367e-03;1.869984e-02
25;0.260000;0;6.865275e-01;0;0;0
26;0.270000;7.142955e+01;7.011011e-01;0;0;1.007408e-01
27;0.280000;1.434834e+02;7.165129e-01;1.732942e-02;0;2.211442e-01
28;0.290000;2.162968e+02;7.392297e-01;2.439491e-02;1.063125e-02;2.367646e-01
29;0.300000;2.178569e+02;7.591135e-01;3.149151e-02;1.827753e-02;1.755737e-01
30;0.310000;2.192028e+02;7.788176e-01;2.125869e-02;2.592382e-02;9.472003e-02
31;0.320000;2.200775e+02;7.949720e-01;1.885916e-02;1.864406e-02;1.652373e-01
32;0.330000;2.200461e+02;8.035603e-01;1.488148e-02;1.481001e-02;1.714936e-01
33;0.340000;2.189467e+02;8.202591e-01;9.062886e-03;7.812853e-03;1.645314e-01
34;0.350000;2.167822e+02;8.349764e-01;8.726443e-03;1.049698e-02;1.032819e-01
35;0.360000;2.151007e+02;8.449225e-01;9.937041e-03;1.272036e-02;8.236375e-02
36;0.370000;2.141653e+02;8.473892e-01;1.128932e-02;1.596774e-02;5.385450e-02
37;0.380000;2.145432e+02;8.420984e-01;8.326308e-03;1.082447e-02;7.617208e-02
38;0.390000;2.156223e+02;8.377809e-01;5.554466e-03;5.116516e-03;5.678013e-02
