frameIndex;frameTime;F0final_sma;voicingFinalUnclipped_sma;pcm_loudness_sma
0;0.010000;3.712408e+01;2.381310e-01;5.851777e-01
1;0.020000;7.473383e+01;4.831597e-01;8.969139e-01
2;0.030000;1.123638e+02;7.299545e-01;1.686736e+00
3;0.040000;1.127642e+02;7.391911e-01;1.801539e+00
4;0.050000;1.125400e+02;7.422839e-01;2.209136e+00
5;0.060000;1.122649e+02;7.425456e-01;1.934276e+00
6;0.070000;1.121141e+02;7.424493e-01;1.664368e+00
7;0.080000;1.118898e+02;7.399583e-01;1.397610e+00
8;0.090000;1.111558e+02;7.340932e-01;8.627427e-01
9;0.100000;1.091066e+02;7.227842e-01;1.250633e+00
10;0.110000;1.065765e+02;7.163174e-01;1.350982e+00
11;0.120000;1.047122e+02;7.181075e-01;1.874798e+00
12;0.130000;1.044543e+02;7.266231e-01;1.744793e+00
13;0.140000;1.049558e+02;7.322421e-01;1.512796e+00
14;0.150000;1.049991e+02;7.330584e-01;1.041716e+00
15;0.160000;1.043123e+02;7.297539e-01;9.478100e-01
16;0.170000;1.029833e+02;7.218477e-01;1.086102e+00
17;0.180000;1.010882e+02;7.124794e-01;1.478480e+00
18;0.190000;9.864224e+01;7.073929e-01;1.547975e+00
19;0.200000;9.602145e+01;7.054785e-01;9.996093e-01
20;0.210000;9.353179e+01;7.053077e-01;4.791496e-01
21;0.220000;9.121700e+01;7.045442e-01;3.922167e-01
22;0.230000;6.003416e+01;7.011815e-01;8.981884e-01
23;0.240000;2.961888e+01;6.940303e-01;9.941499e-01
24;0.250000;0;6.915588e-01;1.160160e+00
25;0.260000;0;6.917315e-01;7.900150e-01
26;0.270000;0;6.943488e-01;8.886656e-01
27;0.280000;0;6.939304e-01;5.932892e-01
28;0.290000;0;6.942408e-01;6.683157e-01
29;0.300000;0;6.950312e-01;7.053760e-01
30;0.310000;0;6.924520e-01;6.708530e-01
31;0.320000;0;6.887860e-01;9.545398e-01
32;0.330000;0;6.828237e-01;8.864066e-01
33;0.340000;0;6.778331e-01;9.188734e-01
34;0.350000;0;6.793545e-01;6.781384e-01
35;0.360000;0;6.833341e-01;6.730338e-01
36;0.370000;0;6.846212e-01;6.964622e-01
37;0.380000;0;6.808808e-01;9.575221e-01
38;0.390000;0;6.774950e-01;9.553814e-01
39;0.400000;0;6.776369e-01;7.957165e-01
40;0.410000;0;6.750667e-01;5.111975e-01
41;0.420000;0;6.683383e-01;5.606443e-01
42;0.430000;0;6.686637e-01;8.840611e-01
43;0.440000;0;6.717301e-01;6.948426e-01
44;0.450000;0;6.720427e-01;5.475746e-01
45;0.460000;0;6.703102e-01;3.049625e-01
46;0.470000;0;4.436164e-01;2.930905e-01
47;0.480000;0;2.248857e-01;4.247974e-01
48;0.490000;0;2.076762e-01;3.606993e-01
49;0.500000;0;3.786920e-01;4.695340e-01
50;0.510000;0;5.305549e-01;3.269247e-01
51;0.520000;0;4.941999e-01;2.932260e-01
52;0.530000;0;5.112705e-01;1.691281e-01
53;0.540000;0;5.139434e-01;1.356652e-01
54;0.550000;0;5.095292e-01;9.801624e-02
55;0.560000;0;4.911466e-01;1.963419e-01
56;0.570000;0;4.959847e-01;2.486980e-01
57;0.580000;0;4.996197e-01;3.316763e-01
58;0.590000;0;5.010399e-01;3.217694e-01
59;0.600000;0;4.975623e-01;3.379967e-01
60;0.610000;0;5.230068e-01;2.739058e-01
61;0.620000;0;5.037909e-01;3.134969e-01
62;0.630000;0;4.943343e-01;4.392723e-01
63;0.640000;0;4.727012e-01;4.715183e-01
64;0.650000;0;5.164974e-01;4.118852e-01
