frameIndex;frameTime;pcm_LOGenergy
0;0.000000;-6.908747e+00
1;0.010000;-6.663886e+00
2;0.020000;-6.612817e+00
3;0.030000;-6.156937e+00
4;0.040000;-5.587635e+00
5;0.050000;-4.593343e+00
6;0.060000;-4.090715e+00
7;0.070000;-3.933171e+00
8;0.080000;-3.976938e+00
9;0.090000;-4.229615e+00
10;0.100000;-4.539255e+00
11;0.110000;-5.206228e+00
12;0.120000;-5.771099e+00
13;0.130000;-6.302866e+00
14;0.140000;-6.436420e+00
15;0.150000;-6.116574e+00
16;0.160000;-5.915492e+00
17;0.170000;-5.563197e+00
18;0.180000;-5.443052e+00
19;0.190000;-5.444364e+00
20;0.200000;-5.057758e+00
21;0.210000;-4.186294e+00
22;0.220000;-3.856692e+00
23;0.230000;-3.934785e+00
24;0.240000;-4.416647e+00
25;0.250000;-4.814046e+00
26;0.260000;-5.451118e+00
27;0.270000;-6.432928e+00
28;0.280000;-8.890750e+00
29;0.290000;-9.410568e+00
30;0.300000;-1.031729e+01
31;0.310000;-1.135396e+01
32;0.320000;-7.274061e+00
33;0.330000;-6.784811e+00
34;0.340000;-5.726039e+00
35;0.350000;-4.562072e+00
36;0.360000;-4.061445e+00
37;0.370000;-4.006780e+00
38;0.380000;-4.327334e+00
39;0.390000;-4.938933e+00
40;0.400000;-5.461137e+00
41;0.410000;-6.007324e+00
42;0.420000;-7.570279e+00
43;0.430000;-7.277036e+00
44;0.440000;-6.866445e+00
45;0.450000;-5.787897e+00
46;0.460000;-5.227254e+00
47;0.470000;-4.833673e+00
48;0.480000;-4.692966e+00
49;0.490000;-4.806217e+00
50;0.500000;-5.087553e+00
51;0.510000;-5.364348e+00
52;0.520000;-5.663266e+00
53;0.530000;-6.789404e+00
54;0.540000;-8.544496e+00
55;0.550000;-9.763847e+00
56;0.560000;-1.033159e+01
57;0.570000;-9.708714e+00
58;0.580000;-8.262337e+00
59;0.590000;-7.982369e+00
60;0.600000;-8.210938e+00
61;0.610000;-8.214527e+00
62;0.620000;-8.176136e+00
63;0.630000;-6.377995e+00
64;0.640000;-5.473852e+00
65;0.650000;-4.726721e+00
66;0.660000;-4.403774e+00
67;0.670000;-4.217936e+00
68;0.680000;-4.513365e+00
69;0.690000;-5.231152e+00
70;0.700000;-7.382433e+00
71;0.710000;-8.511984e+00
72;0.720000;-9.854728e+00
73;0.730000;-8.261698e+00
74;0.740000;-7.200605e+00
75;0.750000;-6.749147e+00
76;0.760000;-4.298995e+00
77;0.770000;-3.613230e+00
78;0.780000;-3.478516e+00
79;0.790000;-4.048213e+00
80;0.800000;-4.323469e+00
81;0.810000;-4.278588e+00
82;0.820000;-4.414498e+00
83;0.830000;-4.809179e+00
84;0.840000;-5.462106e+00
85;0.850000;-5.614132e+00
86;0.860000;-5.261540e+00
87;0.870000;-5.696534e+00
88;0.880000;-6.498918e+00
89;0.890000;-8.651508e+00
90;0.900000;-8.404893e+00
91;0.910000;-8.064898e+00
92;0.920000;-6.208324e+00
93;0.930000;-5.101197e+00
94;0.940000;-4.371974e+00
95;0.950000;-4.220921e+00
96;0.960000;-4.629464e+00
97;0.970000;-5.698309e+00
98;0.980000;-8.098033e+00
99;0.990000;-8.749305e+00
100;1.000000;-9.946613e+00
101;1.010000;-1.134970e+01
102;1.020000;-1.289239e+01
103;1.030000;-1.162438e+01
104;1.040000;-1.085802e+01
105;1.050000;-9.963659e+00
106;1.060000;-9.367352e+00
107;1.070000;-6.685648e+00
108;1.080000;-5.471349e+00
109;1.090000;-4.446588e+00
110;1.100000;-3.694672e+00
111;1.110000;-3.499856e+00
112;1.120000;-3.680513e+00
113;1.130000;-4.149772e+00
114;1.140000;-4.411777e+00
115;1.150000;-4.553924e+00
116;1.160000;-4.742849e+00
117;1.170000;-4.904615e+00
118;1.180000;-5.211191e+00
119;1.190000;-5.646158e+00
120;1.200000;-5.888330e+00
121;1.210000;-5.596571e+00
122;1.220000;-5.178413e+00
123;1.230000;-5.095394e+00
124;1.240000;-5.245359e+00
125;1.250000;-5.464309e+00
126;1.260000;-5.364266e+00
127;1.270000;-5.330857e+00
128;1.280000;-5.314666e+00
129;1.290000;-5.309396e+00
130;1.300000;-5.762672e+00
131;1.310000;-4.544326e+00
132;1.320000;-3.619605e+00
133;1.330000;-3.373154e+00
134;1.340000;-3.813743e+00
135;1.350000;-4.269581e+00
136;1.360000;-4.630643e+00
137;1.370000;-5.047323e+00
138;1.380000;-6.052469e+00
139;1.390000;-7.378394e+00
140;1.400000;-8.433716e+00
141;1.410000;-9.219417e+00
142;1.420000;-1.024838e+01
143;1.430000;-1.002957e+01
